book_id,wikipedia_url
1251,https://en.wikipedia.org/wiki/Le_Morte_d%27Arthur
1252,https://en.wikipedia.org/wiki/Le_Morte_d%27Arthur
1267,https://en.wikipedia.org/wiki/Kai_Lung%27s_Golden_Hours
1290,https://en.wikipedia.org/wiki/Salammb%C3%B4
1317,"https://en.wikipedia.org/wiki/Saltbush_Bill,_J.P.,_and_Other_Verses"
1328,https://en.wikipedia.org/wiki/The_Tinker%27s_Wedding
1345,https://en.wikipedia.org/wiki/Le_Cur%C3%A9_de_Tours
1350,https://en.wikipedia.org/wiki/Le_M%C3%A9decin_de_campagne
1369,https://en.wikipedia.org/wiki/La_Fausse_Ma%C3%AEtresse
1403,https://en.wikipedia.org/wiki/Un_d%C3%A9but_dans_la_vie
1412,"https://en.wikipedia.org/wiki/Masterman_Ready,_or_the_Wreck_of_the_Pacific"
1426,https://en.wikipedia.org/wiki/Le_R%C3%A9quisitionnaire
1428,https://en.wikipedia.org/wiki/La_Grenadi%C3%A8re
1432,https://en.wikipedia.org/wiki/S%C3%A9raph%C3%AEta
1433,https://en.wikipedia.org/wiki/L%27Auberge_rouge_(short_story)
1454,https://en.wikipedia.org/wiki/Ma%C3%AEtre_Corn%C3%A9lius
1456,https://en.wikipedia.org/wiki/Un_%C3%A9pisode_sous_la_Terreur
1473,https://en.wikipedia.org/wiki/The_Absentee_(novel)
1474,https://en.wikipedia.org/wiki/L%27illustre_Gaudissart
1480,https://en.wikipedia.org/wiki/Tom_Brown%27s_School_Days
1500,"https://en.wikipedia.org/wiki/Henry_VI,_Part_1"
1501,"https://en.wikipedia.org/wiki/Henry_VI,_Part_2"
1502,"https://en.wikipedia.org/wiki/Henry_VI,_Part_3"
1510,https://en.wikipedia.org/wiki/Love%27s_Labour%27s_Lost
1514,https://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream
1516,"https://en.wikipedia.org/wiki/Henry_IV,_Part_1"
1518,"https://en.wikipedia.org/wiki/Henry_IV,_Part_2"
1529,https://en.wikipedia.org/wiki/All%27s_Well_That_Ends_Well
1537,"https://en.wikipedia.org/wiki/Pericles,_Prince_of_Tyre"
1539,https://en.wikipedia.org/wiki/The_Winter%27s_Tale
1543,https://en.wikipedia.org/wiki/A_Lover%27s_Complaint
1553,https://en.wikipedia.org/wiki/Le_Chef-d%27%C5%93uvre_inconnu
1555,https://en.wikipedia.org/wiki/Une_passion_dans_le_d%C3%A9sert
1569,https://en.wikipedia.org/wiki/Le_Lys_dans_la_vall%C3%A9e
1581,https://en.wikipedia.org/wiki/Douay%E2%80%93Rheims_Bible
1582,https://en.wikipedia.org/wiki/Douay%E2%80%93Rheims_Bible
1597,https://en.wikipedia.org/wiki/Fairy_Tales_Told_for_Children._First_Collection.
1609,https://en.wikipedia.org/wiki/Douay%E2%80%93Rheims_Bible
1659,https://en.wikipedia.org/wiki/La_Fille_aux_yeux_d%27or
1660,https://en.wikipedia.org/wiki/Splendeurs_et_mis%C3%A8res_des_courtisanes
1670,https://en.wikipedia.org/wiki/Luther%27s_Small_Catechism
1678,https://en.wikipedia.org/wiki/Une_t%C3%A9n%C3%A9breuse_affaire
1700,https://en.wikipedia.org/wiki/The_Life_of_Charlotte_Bront%C3%AB
1710,https://en.wikipedia.org/wiki/La_Grande_Bret%C3%A8che
1715,https://en.wikipedia.org/wiki/Eug%C3%A9nie_Grandet
1722,https://en.wikipedia.org/wiki/Luther%27s_Large_Catechism
1730,"https://en.wikipedia.org/wiki/Michael,_Brother_of_Jerry"
1765,"https://en.wikipedia.org/wiki/Henry_VI,_Part_1"
1774,https://en.wikipedia.org/wiki/Love%27s_Labour%27s_Lost
1778,https://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream
